filename,classification,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10
1-100032-A-0.wav,negative,-564.44214,8.385604,-2.2768497,-4.5123105,-2.3472912,-1.7453331,-1.8145548,-1.0861497,-1.880887,-0.31391442
1-100038-A-14.wav,negative,-142.99968,37.181145,-56.66097,8.878623,-15.041111,11.346839,-31.96356,-17.786943,-11.256812,-13.532288
1-100210-A-36.wav,negative,42.051224,60.085186,-7.855661,26.267555,-5.3967323,3.353272,1.6149573,3.3578038,-16.075333,19.716097
1-100210-B-36.wav,negative,43.77951,57.934246,-5.346288,23.884005,-4.7855206,2.999132,1.4930725,2.7655263,-13.170007,19.963636
1-101296-A-19.wav,negative,-420.73926,95.85138,33.80369,51.674496,13.107634,26.776213,16.62416,11.390849,-10.480467,9.661076
1-101296-B-19.wav,negative,-404.4737,108.73687,41.184483,54.29092,10.829029,20.209066,11.692412,5.854721,-12.85345,9.222496
1-101336-A-30.wav,negative,-430.1528,88.85192,22.472752,19.280357,17.60095,16.445993,8.075697,2.4818563,-1.6072153,0.660338
1-101404-A-34.wav,negative,-442.63895,11.238862,-6.0623074,15.063516,6.40241,9.577755,-8.4953375,5.596622,2.8590672,10.520203
1-103298-A-9.wav,negative,-104.49019,79.36857,13.888568,32.69425,-11.5351515,11.866548,-1.1089547,17.91338,14.17441,14.017931
1-103995-A-30.wav,negative,-560.19995,33.538296,12.981099,5.947388,4.666534,4.562666,0.60086966,2.5869892,2.3514242,2.8076766
1-103999-A-30.wav,negative,-621.20355,33.454304,13.57329,4.456646,2.2823431,1.6901202,0.89118207,3.6096282,2.806778,2.382092
1-104089-A-22.wav,negative,-49.7231,54.61578,-9.714626,-15.558458,-23.488535,-10.728967,-16.383585,-4.048927,-15.812914,-3.415729
1-104089-B-22.wav,negative,-52.881523,55.881577,-6.8514223,-17.34098,-28.09061,-9.456679,-14.812405,0.2369057,-14.240931,-3.1656737
1-105224-A-22.wav,negative,-7.1839385,122.367805,-25.348677,-14.747765,-33.554348,-10.135259,-17.216562,-6.5478473,-15.510762,-3.1959803
1-110389-A-0.wav,negative,-561.54785,10.736432,2.3967104,-0.34079197,-2.3847187,-0.28178325,-0.68205047,-0.24657859,-0.05101686,0.21065156
1-110537-A-22.wav,negative,110.1043,101.357765,-10.305908,-12.822015,-27.296366,7.1014752,-5.734972,4.2999845,-9.659371,2.1273396
1-115521-A-19.wav,negative,-408.1025,137.23973,85.28232,37.64498,13.101759,8.934513,11.895947,13.296503,11.811467,9.119477
1-115545-A-48.wav,negative,-489.12012,145.4665,17.763676,23.73286,4.702055,10.74658,-1.119246,3.0658722,-2.479251,3.37667
