filename,classification,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10
1-100032-A-0.wav,negative,439.98962,8.207122,-6.6588025,-4.2909064,-3.0344782,0.2592792,-1.9639465,-0.27157682,0.51828414,0.34188426
1-100038-A-14.wav,negative,766.79333,85.83962,-107.10316,31.011578,-39.987736,-17.29034,-37.214104,-18.145689,-11.705071,-17.621454
1-100210-A-36.wav,negative,991.2685,102.5039,-40.419437,39.0169,-22.449158,12.773843,-8.455192,20.69704,-11.590557,18.945305
1-100210-B-36.wav,negative,990.61536,104.30038,-43.018017,42.27738,-26.241453,18.346586,-10.591763,22.344328,-12.172708,16.495598
1-101296-A-19.wav,negative,555.10754,144.2614,22.961348,52.213543,2.9706805,11.319603,-2.8959334,0.0764066,-8.929121,10.0191145
1-101296-B-19.wav,negative,579.95544,153.39592,32.532093,38.86476,0.38635933,-1.5141,2.681724,-3.4703326,-3.5469112,5.8736715
1-101336-A-30.wav,negative,567.4255,99.39631,29.221006,13.574592,13.696905,5.145906,-3.056397,-0.112628415,5.8046284,4.9946175
1-101404-A-34.wav,negative,510.8652,30.666029,-15.92808,27.21147,-2.3663468,10.939702,3.75758,17.757711,12.412342,4.006187
1-103298-A-9.wav,negative,848.5473,131.6637,-23.350657,44.626896,-16.704086,34.943085,13.708267,24.017624,-3.575602,12.136042
1-103995-A-30.wav,negative,442.2733,38.904858,11.928011,5.5363674,3.2450657,5.922209,2.6926978,3.5705726,2.868949,1.5854605
1-103999-A-30.wav,negative,379.24753,36.555008,11.361752,2.7105563,1.6775684,5.647139,3.5933666,3.3040555,1.1396792,1.2763882
1-104089-A-22.wav,negative,874.2481,93.504715,-76.91912,7.2198987,-60.135216,20.933525,-39.915245,8.395385,-28.368721,4.363422
1-104089-B-22.wav,negative,874.40326,93.66045,-75.62163,5.2929697,-59.118847,25.269354,-35.55628,5.9572973,-29.673779,3.8328748
1-105224-A-22.wav,negative,902.11847,197.70515,-119.8887,3.806779,-51.351833,3.2398918,-7.710668,-22.327972,7.1011515,-19.30867
